"REF_DATE","GEO","DGUID","Wages","Type of work","North American Industry Classification System (NAICS)","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196620","1.2.1.4.1.1","34.30","","","","2"
"2012","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196620","1.2.1.4.1.1","36.68","","","","2"
"2013","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196620","1.2.1.4.1.1","37.74","","","","2"
"2014","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196620","1.2.1.4.1.1","38.95","","","","2"
"2015","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196620","1.2.1.4.1.1","39.53","","","","2"
"2016","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196620","1.2.1.4.1.1","40.90","","","","2"
"2017","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196620","1.2.1.4.1.1","41.59","","","","2"
"2018","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196620","1.2.1.4.1.1","41.35","","","","2"
"2019","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196620","1.2.1.4.1.1","41.41","","","","2"
"2020","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196620","1.2.1.4.1.1","42.77","","","","2"
"2021","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196620","1.2.1.4.1.1","44.15","","","","2"
"2022","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196620","1.2.1.4.1.1","44.30","","","","2"
"2023","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196620","1.2.1.4.1.1","47.32","","","","2"
"2024","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196620","1.2.1.4.1.1","50.09","","","","2"
"2010","Canada","2021A000011124","Average hourly wage rate","Both full- and part-time employees","Utilities [22]","Total - Gender","15 years and over","Current dollars","75","units","0","v2196625","1.2.1.5.1.1","36.44","","","","2"
